address,isHostedBySuperhost,location/lat,location/lng,name,numberOfGuests,pricing/rate/amount,pricing/rate/amountFormatted,pricing/rate/currency,pricing/rateType,primaryHost/badges/0,primaryHost/badges/1,primaryHost/firstName,primaryHost/hasProfilePic,primaryHost/hostUrl,primaryHost/id,primaryHost/languages/0,primaryHost/languages/1,primaryHost/languages/2,primaryHost/languages/3,primaryHost/memberSince,primaryHost/pictureUrl,primaryHost/responseRate,primaryHost/responseTime,primaryHost/smartName,primaryHost/thumbnailUrl,roomType,stars,url,primaryHost/about
"Karachi, Sindh, Pakistan",No,24.81243,67.1386,Center of city,4,29,$29,USD,nightly,1 Review,Identity verified,Aamir,true,https://www.airbnb.com/users/show/423440391,423440391,,,,,Joined in September 2021,https://a0.muscache.com/im/pictures/user/24e2c24e-2506-4862-b89f-779a69c5b0bb.jpg?aki_policy=profile_large,100%,within an hour,Aamir,https://a0.muscache.com/im/pictures/user/24e2c24e-2506-4862-b89f-779a69c5b0bb.jpg?aki_policy=profile_small,Entire place,,https://www.airbnb.com/rooms/52348361,
"Karachi, Sindh, Pakistan",No,24.80931,67.0176,all-rounder safe and convenient AirBnB.,4,29,$29,USD,nightly,Identity verified,,Faraz,true,https://www.airbnb.com/users/show/375569301,375569301,,,,,Joined in November 2020,https://a0.muscache.com/im/pictures/user/464a08f4-5011-48b7-a46f-da786fd3130d.jpg?aki_policy=profile_large,0%,a few days or more,Faraz,https://a0.muscache.com/im/pictures/user/464a08f4-5011-48b7-a46f-da786fd3130d.jpg?aki_policy=profile_small,Private room,,https://www.airbnb.com/rooms/52296160,
"Karachi, Sindh, Pakistan",No,24.90417,67.08045,Shared and Private Room in Gulshan Iqbal Karachi.,2,23,$23,USD,nightly,,,Ahad,true,https://www.airbnb.com/users/show/176417920,176417920,English,हिन्दी,,,Joined in March 2018,https://a0.muscache.com/im/pictures/user/f72a4535-50f3-4555-bc93-0522fc426497.jpg?aki_policy=profile_large,0%,a few days or more,Ahad,https://a0.muscache.com/im/pictures/user/f72a4535-50f3-4555-bc93-0522fc426497.jpg?aki_policy=profile_small,Private room,,https://www.airbnb.com/rooms/38244476,"I am a Marketer with 4 years of Sales and Marketing experience. Extroverd, Travelling and cool guy."
"Karachi, Sindh, Pakistan",No,24.779,67.08031,1 Private Room with all utilities.,1,29,$29,USD,nightly,,,Rauf,true,https://www.airbnb.com/users/show/213063716,213063716,,,,,Joined in September 2018,https://a0.muscache.com/im/pictures/user/ad0a2a30-b523-429c-a665-aaa54d748380.jpg?aki_policy=profile_large,,,Rauf,https://a0.muscache.com/im/pictures/user/ad0a2a30-b523-429c-a665-aaa54d748380.jpg?aki_policy=profile_small,Private room,,https://www.airbnb.com/rooms/50510143,
"Karachi, Sindh, Pakistan",No,24.93678,67.15376,Big n comfortable room near Karachi Int. Airport,2,23,$23,USD,nightly,,,Muhammad Zeeshan,true,https://www.airbnb.com/users/show/365100517,365100517,,,,,Joined in August 2020,https://a0.muscache.com/im/pictures/user/56eb3892-5b14-4dd5-8014-f0ec23b33220.jpg?aki_policy=profile_large,0%,a few days or more,Muhammad Zeeshan,https://a0.muscache.com/im/pictures/user/56eb3892-5b14-4dd5-8014-f0ec23b33220.jpg?aki_policy=profile_small,Private room,,https://www.airbnb.com/rooms/45210974,
"Karachi, Sindh, Pakistan",No,24.8306,67.06671,Located at one of the posh localities of the city,1,29,$29,USD,nightly,Identity verified,,Arsalan,true,https://www.airbnb.com/users/show/260774080,260774080,,,,,Joined in May 2019,https://a0.muscache.com/im/pictures/user/df107cfd-3c24-4e9d-b95e-2b37aaf7db3e.jpg?aki_policy=profile_large,,,Arsalan,https://a0.muscache.com/im/pictures/user/df107cfd-3c24-4e9d-b95e-2b37aaf7db3e.jpg?aki_policy=profile_small,Private room,,https://www.airbnb.com/rooms/36252322,
"Karachi, Sindh, Pakistan",No,24.81468,67.02029,A fun-loving host for your trip to Karachi,1,34,$34,USD,nightly,,,Kashif,true,https://www.airbnb.com/users/show/53582772,53582772,English,हिन्दी,,,Joined in January 2016,https://a0.muscache.com/im/pictures/user/7a93a199-56c9-4094-8a57-61b6f6252772.jpg?aki_policy=profile_large,100%,within a day,Kashif,https://a0.muscache.com/im/pictures/user/7a93a199-56c9-4094-8a57-61b6f6252772.jpg?aki_policy=profile_small,Shared room,,https://www.airbnb.com/rooms/31438179,"I am from Karachi, Pakistan. A multitasking entrepreneur who loves to travel and meet new people. Hope to get to meet new folks and make new friends here."
"Karachi, Sindh, Pakistan",No,24.80875,67.03402,kehkashaninn guest house,11,34,$34,USD,nightly,,,Raees,true,https://www.airbnb.com/users/show/418132234,418132234,,,,,Joined in August 2021,https://a0.muscache.com/defaults/user_pic-640x640.png?v=3,0%,a few days or more,Raees,https://a0.muscache.com/defaults/user_pic-640x640.png?v=3,Private room,,https://www.airbnb.com/rooms/51615206,
"Karachi, Sindh, Pakistan",No,24.90587,67.18675,Best place to stay near airport,2,23,$23,USD,nightly,Identity verified,,Rayan,true,https://www.airbnb.com/users/show/162915928,162915928,中文 (简体),English,,,Joined in December 2017,https://a0.muscache.com/im/pictures/user/43b629db-83f1-429a-86dd-03a92e0e912c.jpg?aki_policy=profile_large,0%,a few days or more,Rayan,https://a0.muscache.com/im/pictures/user/43b629db-83f1-429a-86dd-03a92e0e912c.jpg?aki_policy=profile_small,Private room,,https://www.airbnb.com/rooms/34995393,"Travel Consultant, Aviator, Astronomer and Artist"
"Karachi, Sindh, Pakistan",No,24.81296,67.05198,Mashwani Guest  House,2,34,$34,USD,nightly,5 Reviews,Identity verified,Attiq,true,https://www.airbnb.com/users/show/217799104,217799104,English,,,,Joined in September 2018,https://a0.muscache.com/im/pictures/user/aa4769b6-5968-4de8-9026-90470f66ed21.jpg?aki_policy=profile_large,,,Attiq,https://a0.muscache.com/im/pictures/user/aa4769b6-5968-4de8-9026-90470f66ed21.jpg?aki_policy=profile_small,Private room,2.33,https://www.airbnb.com/rooms/28920827,One Of our top picks in Karachi - and guest favourite.
