address,isHostedBySuperhost,location/lat,location/lng,name,numberOfGuests,pricing/rate/amount,pricing/rate/amountFormatted,pricing/rate/currency,pricing/rateType,primaryHost/badges/0,primaryHost/badges/1,primaryHost/firstName,primaryHost/hasProfilePic,primaryHost/hostUrl,primaryHost/id,primaryHost/languages/0,primaryHost/languages/1,primaryHost/languages/2,primaryHost/languages/3,primaryHost/memberSince,primaryHost/pictureUrl,primaryHost/responseRate,primaryHost/responseTime,primaryHost/smartName,primaryHost/thumbnailUrl,roomType,stars,url,primaryHost/about
"Lahore, Punjab, Pakistan",No,31.50653,74.32502,Private Spacious Bedroom,2,29,$29,USD,nightly,Identity verified,,Sheharyar,true,https://www.airbnb.com/users/show/94894727,94894727,,,,,Joined in September 2016,https://a0.muscache.com/im/pictures/user/9aef033d-ea2d-4536-a235-131a70516991.jpg?aki_policy=profile_large,,,Sheharyar,https://a0.muscache.com/im/pictures/user/9aef033d-ea2d-4536-a235-131a70516991.jpg?aki_policy=profile_small,Private room ,,https://www.airbnb.com/rooms/38173377,
"Lahore, Punjab, Pakistan",No,31.41868,74.26533,Furnished Bed Available with walking distance to market (breakfast not included),4,23,$23,USD,nightly,Identity verified,,Imran,true,https://www.airbnb.com/users/show/407956081,407956081,,,,,Joined in June 2021,https://a0.muscache.com/im/pictures/user/14a879d9-4081-4794-9d53-5942fb4fa77f.jpg?aki_policy=profile_large,,,Imran,https://a0.muscache.com/im/pictures/user/14a879d9-4081-4794-9d53-5942fb4fa77f.jpg?aki_policy=profile_small,Private room ,,https://www.airbnb.com/rooms/50496848,
"Lahore, Punjab, Pakistan",No,31.36049,74.18803,Luxury Apartments Nishter Heights Bahria Town,4,29,$29,USD,nightly,Identity verified,,Suleman,true,https://www.airbnb.com/users/show/386148581,386148581,,,,,Joined in January 2021,https://a0.muscache.com/im/pictures/user/0c2eec49-0281-4bbf-a298-87fdce032372.jpg?aki_policy=profile_large,0%,a few days or more,Suleman,https://a0.muscache.com/im/pictures/user/0c2eec49-0281-4bbf-a298-87fdce032372.jpg?aki_policy=profile_small,Private room ,,https://www.airbnb.com/rooms/47906877,
"Lahore, Punjab, Pakistan",No,31.57824,74.37067,Cheap Single Bedroom with attach bath free wifi,4,23,$23,USD,nightly,Identity verified,,Ahmad,true,https://www.airbnb.com/users/show/439806025,439806025,,,,,Joined in January 2022,https://a0.muscache.com/im/pictures/user/32e9b3fb-1c9a-4d36-b04e-eaeea8d8bdbc.jpg?aki_policy=profile_large,,,Ahmad,https://a0.muscache.com/im/pictures/user/32e9b3fb-1c9a-4d36-b04e-eaeea8d8bdbc.jpg?aki_policy=profile_small,Private room ,,https://www.airbnb.com/rooms/539192333687740740,
"Lahore, Punjab, Pakistan",No,31.49564,74.31657,Experience can’t get any better,2,19,$19,USD,nightly,1 Review,Identity verified,Hassan,true,https://www.airbnb.com/users/show/358818245,358818245,,,,,Joined in July 2020,https://a0.muscache.com/im/pictures/user/a8204fba-5675-4801-a54d-c863375c8574.jpg?aki_policy=profile_large,50%,within a day,Hassan,https://a0.muscache.com/im/pictures/user/a8204fba-5675-4801-a54d-c863375c8574.jpg?aki_policy=profile_small,Private room ,,https://www.airbnb.com/rooms/44451968,
"Lahore, Punjab, Pakistan",No,31.50565,74.31209,Room in center of Lahore,2,19,$19,USD,nightly,,,Yasser,true,https://www.airbnb.com/users/show/267023168,267023168,,,,,Joined in June 2019,https://a0.muscache.com/im/pictures/user/a20cec13-f2b8-43a6-a511-1c909997dc68.jpg?aki_policy=profile_large,0%,a few days or more,Yasser,https://a0.muscache.com/im/pictures/user/a20cec13-f2b8-43a6-a511-1c909997dc68.jpg?aki_policy=profile_small,Private room ,,https://www.airbnb.com/rooms/35492976,I am Australia returned Technologist. Used to live in Canberra the capital city. Now permanently in Lahore since a few years. I am also related to Media production.
"Lahore, Punjab, Pakistan",No,31.36616,74.18565,LOVELY ONE BED CONDO WITH FREE PARKING,3,23,$23,USD,nightly,7 Reviews,Identity verified,Rana,true,https://www.airbnb.com/users/show/423565641,423565641,English,हिन्दी,ਪੰਜਾਬੀ,,Joined in September 2021,https://a0.muscache.com/im/pictures/user/e5ca5551-cdc7-4fb5-bde2-be4815818efb.jpg?aki_policy=profile_large,100%,within an hour,Rana,https://a0.muscache.com/im/pictures/user/e5ca5551-cdc7-4fb5-bde2-be4815818efb.jpg?aki_policy=profile_small,Entire place,,https://www.airbnb.com/rooms/54311174,
"Lahore, Punjab, Pakistan",No,31.47512,74.30516,Furnished Room On Daily Basis,1,23,$23,USD,nightly,Identity verified,,Shabir,true,https://www.airbnb.com/users/show/221388893,221388893,,,,,Joined in October 2018,https://a0.muscache.com/im/pictures/user/0a2252f7-278c-45ec-a903-00dd40c22b54.jpg?aki_policy=profile_large,,,Shabir,https://a0.muscache.com/im/pictures/user/0a2252f7-278c-45ec-a903-00dd40c22b54.jpg?aki_policy=profile_small,Private room ,,https://www.airbnb.com/rooms/47851958,
"Lahore, Punjab, Pakistan",No,31.5199,74.37405,"1 Bedroom in Cantt, near airport. Safe location.",3,23,$23,USD,nightly,,,Nofil,true,https://www.airbnb.com/users/show/293783226,293783226,,,,,Joined in September 2019,https://a0.muscache.com/im/pictures/user/19a1fde1-943d-4580-a981-5a6f7399c7c2.jpg?aki_policy=profile_large,,,Nofil,https://a0.muscache.com/im/pictures/user/19a1fde1-943d-4580-a981-5a6f7399c7c2.jpg?aki_policy=profile_small,Private room ,,https://www.airbnb.com/rooms/38521340,
"Lahore, Punjab, Pakistan",No,31.52401,74.449,Dream Place,3,29,$29,USD,nightly,Identity verified,,Abdullah,true,https://www.airbnb.com/users/show/292974255,292974255,,,,,Joined in September 2019,https://a0.muscache.com/im/pictures/user/ca90d7ec-95d8-4f5c-9896-bd3b5a1682c7.jpg?aki_policy=profile_large,100%,within a day,Abdullah,https://a0.muscache.com/im/pictures/user/ca90d7ec-95d8-4f5c-9896-bd3b5a1682c7.jpg?aki_policy=profile_small,Private room ,,https://www.airbnb.com/rooms/38434097,
